A股代码,证券简称,上市日期,总股本,流通股
603021,ST华鹏,20150423,319948100,319948100
603022,新通联,20150518,200000000,200000000
603023,威帝股份,20150527,558117400,558117400
603025,大豪科技,20150422,1116654800,1109174800
603026,石大胜华,20150529,202680000,202680000
603027,千禾味业,20160307,1025481100,961242600
603028,赛福天,20160331,287040000,287040000
603029,天鹅股份,20160427,121342000,121342000
603030,全筑股份,20150320,1316933500,1316933500
603031,安孚科技,20160822,211120000,211120000
603032,德新科技,20170105,233514700,231663000
603033,三维股份,20161207,1031163600,1012531000
603035,常熟汽饰,20170105,380030899,380030899
603036,如通股份,20161209,206006000,206006000
603037,凯众股份,20170120,268074600,266614400
603038,华立股份,20170116,268677100,268677100
603039,泛微网络,20170113,260603100,260603100
603040,新坐标,20170209,136486900,135063400
603041,美思德,20170330,183147700,183147700
603042,华脉科技,20170602,160589800,160589800
603043,广州酒家,20170627,568770800,568770800
603045,福达合金,20180517,135445200,135445200
603048,浙江黎明,20211116,146880000,146880000
603049,中策橡胶,20250605,874485600,84823400
603050,科林电气,20170414,403319200,403319200
603051,鹿山新材,20220325,145967400,145967400
603052,可川科技,20221011,187897300,56459700
603053,成都燃气,20191217,888890000,888890000
603055,台华新材,20170921,890292600,885452600
603056,德邦股份,20180116,1019815399,1019815399
603057,紫燕食品,20220926,413513800,68061900
603058,永吉股份,20161223,419894400,418843800
603059,倍加洁,20180302,100448700,100448700
603060,国检集团,20161109,803958500,803958500
603061,金海通,20230303,60000000,41826300
603062,麦加芯彩,20231107,108000000,37886400
603063,禾望电气,20170728,457277300,457277300
603065,宿迁联盛,20230321,418967600,196673500
603066,音飞储存,20150611,294180100,294180100
603067,振华股份,20160913,710760300,710760300
603068,博通集成,20190415,150425000,150425000
603069,海汽集团,20160712,316000000,316000000
603070,万控智造,20220310,401000000,395416900
603071,物产环能,20211216,557954400,557954400
603072,天和磁材,20250103,264280000,66070000
603073,彩蝶实业,20230316,116000000,50892800
603075,热威股份,20230911,402483100,41245100
603076,乐惠国际,20171113,120701299,120701299
603077,和邦生物,20120731,8831383200,8831383200
603078,江化微,20170410,385637200,385637200
603079,圣达生物,20170823,189029600,171189000
603080,新疆火炬,20180103,141500000,141500000
603081,大丰实业,20170420,433392900,433392900
603082,北自科技,20240130,162227500,40556900
603083,剑桥科技,20171110,268019800,268019800
603085,天成自控,20150630,397100000,397100000
603086,先达股份,20170511,434813100,434813100
603087,甘李药业,20200629,601065300,561398600
603088,宁波精达,20141111,502388000,437871800
603089,正裕工业,20170126,240033300,240033300
603090,宏盛股份,20160831,100000000,100000000
603091,众鑫股份,20240920,102238799,20447800
603093,南华期货,20190830,610065900,610065900
603095,越剑智能,20200415,258269199,258269199
603096,新经典,20170425,154234600,154234600
603097,江苏华辰,20220512,164435000,160000000
603098,森特股份,20161216,539700000,538800000
603099,长白山,20140822,266670000,266670000
603100,川仪股份,20140805,513201500,510000600
603101,汇嘉时代,20160506,470400000,470400000
603102,百合股份,20220125,64000000,64000000
603103,横店影视,20171012,634200000,634200000
603105,芯能科技,20180709,500007000,500007000
603106,恒银科技,20170920,520520000,520520000
603107,上海汽配,20231101,337335000,218174000
603108,润达医疗,20150527,603665600,603665600
603109,神驰机电,20191231,208848400,208848400
603110,东方材料,20171013,201226699,201226699
603111,康尼机电,20140801,868068200,845704700
603112,华翔股份,20200917,539170600,505198700
603113,金能科技,20170511,847955800,847955800
603115,海星股份,20190809,241890400,241890400
603116,红蜻蜓,20150629,576200800,576200800
603117,万林物流,20150629,599197700,599197700
603118,共进股份,20150225,787276400,787276400
603119,浙江荣泰,20230801,363742200,203879500
603120,肯特催化,20250416,90400000,22143800
603121,华培动力,20190111,338533700,338533700
